1800 [Storia e Mitologia]: Chi era il dio greco del sole, della musica e della profezia? | Apollo, Ares, Ermes, Efesto | Ans: Apollo
1959 [Tecnologia e Videogiochi]: Qual è l'estensione predefinita per i file di testo semplice in Windows? | .doc, .rtf, .pdf, .txt | Ans: .txt
1960 [Tecnologia e Videogiochi]: Quale iconica serie di videogiochi di calcio è stata rinominata in 'EA Sports FC' nel 2023? | PES, FIFA, Madden NFL, eFootball | Ans: FIFA
1961 [Tecnologia e Videogiochi]: Quale supporto di memoria di massa impiega dischi magnetici rotanti? | Solid State Drive (SSD), Hard Disk Drive (HDD), Chiavetta USB, Scheda SD | Ans: Hard Disk Drive (HDD)
1962 [Tecnologia e Videogiochi]: Nel videogioco 'Dark Souls', quale oggetto serve principalmente a recuperare i punti salute? | Erba Verde, Goccia di Sangue, Fiaschetta Estus, Elisir Curativo | Ans: Fiaschetta Estus
1963 [Tecnologia e Videogiochi]: Da chi è stata acquistata la piattaforma di streaming Twitch nel 2014? | Google, Amazon, Facebook, Microsoft | Ans: Amazon
1964 [Tecnologia e Videogiochi]: Come si chiama il cacciatore di tesori protagonista della serie 'Uncharted'? | Joel Miller, Cole MacGrath, Kratos, Nathan Drake | Ans: Nathan Drake
1965 [Tecnologia e Videogiochi]: Cosa significa la sigla 'URL' nell'ambito web? | Universal Routing Link, Unified Resource Language, Uniform Resource Locator, Uniform Recovery Locator | Ans: Uniform Resource Locator
1966 [Tecnologia e Videogiochi]: In quale serie di gestionali il giocatore costruisce e amministra parchi di divertimento? | Theme Hospital, Planet Zoo, Cities: Skylines, RollerCoaster Tycoon | Ans: RollerCoaster Tycoon
1967 [Tecnologia e Videogiochi]: Quale azienda sviluppa e mantiene il sistema operativo mobile Android? | Samsung, Google, Microsoft, Apple | Ans: Google
1968 [Tecnologia e Videogiochi]: Come si chiama l'azienda farmaceutica immaginaria responsabile della catastrofe in 'Resident Evil'? | Abstergo Industries, Aperture Science, Vault-Tec, Umbrella Corporation | Ans: Umbrella Corporation
1969 [Tecnologia e Videogiochi]: Quale linguaggio di markup è il blocco costruttivo fondamentale delle pagine web? | Python, C++, HTML, Java | Ans: HTML
1970 [Tecnologia e Videogiochi]: Quale hero shooter tattico 5 contro 5 è stato pubblicato da Riot Games nel 2020? | Counter-Strike 2, Rainbow Six Siege, Valorant, Overwatch | Ans: Valorant
1971 [Tecnologia e Videogiochi]: Cosa si intende con il termine 'Cloud Computing'? | L'uso di server remoti su Internet per archiviare, gestire ed elaborare dati, La creazione di reti meteorologiche, Il raffreddamento a liquido dei PC, Il salvataggio dei dati su reti locali aziendali offline | Ans: L'uso di server remoti su Internet per archiviare, gestire ed elaborare dati
1972 [Tecnologia e Videogiochi]: Quale studio di sviluppo ha creato il videogioco 'The Last of Us'? | Insomniac Games, Santa Monica Studio, Naughty Dog, Guerrilla Games | Ans: Naughty Dog
1973 [Tecnologia e Videogiochi]: Qual è stato il primo gioco arcade di successo globale lanciato da Atari nel 1972? | Pac-Man, Pong, Space Invaders, Asteroids | Ans: Pong
1974 [Tecnologia e Videogiochi]: Come viene chiamata comunemente la tecnologia basata sullo standard Qi? | Ricarica Wireless, Connessione Bluetooth, Pagamento NFC, Trasmissione a Infrarossi | Ans: Ricarica Wireless
1975 [Tecnologia e Videogiochi]: In 'Final Fantasy', qual è il nome del simpatico uccello cavalcabile simile a uno struzzo? | Moogle, Bahamut, Ifrit, Chocobo | Ans: Chocobo
1976 [Tecnologia e Videogiochi]: Chi ha succeduto Steve Jobs come CEO di Apple Inc. nel 2011? | Sundar Pichai, Tim Cook, Satya Nadella, Mark Zuckerberg | Ans: Tim Cook
1977 [Tecnologia e Videogiochi]: Qual è il folle e carismatico antagonista principale di 'Far Cry 3'? | Pagan Min, Joseph Seed, Vaas Montenegro, Anton Castillo | Ans: Vaas Montenegro
1978 [Tecnologia e Videogiochi]: Quale standard tecnologico permette il trasferimento dati senza fili a corto raggio tra dispositivi? | Wi-Fi, Ethernet, 5G, Bluetooth | Ans: Bluetooth
1979 [Tecnologia e Videogiochi]: In quale capitolo di 'Grand Theft Auto' i protagonisti giocabili sono tre: Michael, Franklin e Trevor? | GTA: San Andreas, GTA IV, GTA V, GTA: Vice City | Ans: GTA V
1980 [Tecnologia e Videogiochi]: Cos'è un 'bug' nel campo della programmazione informatica? | Un virus informatico, Un errore o difetto nel codice software, Un componente hardware danneggiato, Un programma di protezione | Ans: Un errore o difetto nel codice software
1981 [Tecnologia e Videogiochi]: Quale videogioco simulatore spaziale è celebre per il suo universo quasi infinito e generato in modo procedurale? | Elite Dangerous, Star Citizen, EVE Online, No Man's Sky | Ans: No Man's Sky
1982 [Tecnologia e Videogiochi]: Qual è l'abbreviazione per l'unità a stato solido, oggi usata nei PC al posto del classico disco rigido? | HDD, CD-ROM, SSD, RAM | Ans: SSD
1983 [Tecnologia e Videogiochi]: Qual è la fazione principale che si oppone all'Alleanza nell'universo di 'World of Warcraft'? | I Non Morti, I Demoni, L'Impero, L'Orda | Ans: L'Orda
1984 [Tecnologia e Videogiochi]: Come si chiama l'assistente vocale virtuale integrato nei dispositivi Apple? | Alexa, Cortana, Siri, Google Assistant | Ans: Siri
1985 [Tecnologia e Videogiochi]: Nel videogioco 'Half-Life', qual è il nome dello scienziato protagonista solitamente armato di piede di porco? | Master Chief, Gordon Freeman, Duke Nukem, Doomguy | Ans: Gordon Freeman
1986 [Tecnologia e Videogiochi]: Quale motore di ricerca è particolarmente noto per porre enfasi sulla privacy e sul non tracciamento degli utenti? | Yahoo, Bing, DuckDuckGo, Baidu | Ans: DuckDuckGo
1987 [Tecnologia e Videogiochi]: Come si chiama la truffa informatica in cui si cerca di rubare dati sensibili fingendosi un ente affidabile? | Spoofing, DDoS, Keylogging, Phishing | Ans: Phishing
1988 [Tecnologia e Videogiochi]: In quale GDR del 2011 il giocatore interpreta il 'Sangue di Drago' (Dragonborn)? | Dragon Age: Inquisition, The Witcher 2, The Elder Scrolls V: Skyrim, Dark Souls | Ans: The Elder Scrolls V: Skyrim
1989 [Tecnologia e Videogiochi]: In quale anno è stata commercializzata sul mercato la console Nintendo Switch? | 2015, 2017, 2019, 2016 | Ans: 2017
1990 [Tecnologia e Videogiochi]: Quale tra le seguenti è la periferica di output per eccellenza di un personal computer? | Mouse, Tastiera, Scanner, Monitor | Ans: Monitor
1991 [Tecnologia e Videogiochi]: Nel roster base di 'Super Smash Bros. Ultimate', quale di questi personaggi proviene originariamente da una serie Konami? | Samus Aran, Kirby, Solid Snake, Fox McCloud | Ans: Solid Snake
1992 [Tecnologia e Videogiochi]: Cosa identifica un indirizzo IP? | L'indirizzo fisico di una scheda di rete (MAC), L'etichetta numerica di un dispositivo connesso a una rete, La quantità di memoria RAM disponibile, Il percorso di un file sul disco rigido | Ans: L'etichetta numerica di un dispositivo connesso a una rete
1993 [Tecnologia e Videogiochi]: Come si chiama il videogioco horror indipendente dove bisogna sopravvivere come guardia notturna in una pizzeria infestata da animatroni? | Amnesia: The Dark Descent, Outlast, Slender: The Eight Pages, Five Nights at Freddy's | Ans: Five Nights at Freddy's
1994 [Tecnologia e Videogiochi]: Quale social network incentrato sui video brevi è stato creato dalla società cinese ByteDance? | Snapchat, Vine, TikTok, Instagram Reels | Ans: TikTok
1995 [Tecnologia e Videogiochi]: Qual è l'arma iconica brandita dai cavalieri Jedi e dai Sith in 'Star Wars' e nei relativi videogiochi? | Fucile al plasma, Spada laser, Blaster, Vibrolama | Ans: Spada laser
1996 [Tecnologia e Videogiochi]: Quale componente del PC converte la corrente elettrica alternata in corrente continua a basso voltaggio per l'hardware? | Scheda Madre, Inverter, Processore, Alimentatore (PSU) | Ans: Alimentatore (PSU)
1997 [Tecnologia e Videogiochi]: Quale action-RPG, vincitore del GOTY 2022, è stato creato da FromSoftware in collaborazione con George R. R. Martin? | Bloodborne, Sekiro: Shadows Die Twice, Elden Ring, Demon's Souls | Ans: Elden Ring
1998 [Tecnologia e Videogiochi]: Quale tecnologia permette di immergersi completamente in un videogioco a 360 gradi, isolandosi dal mondo reale? | Realtà Aumentata (AR), Realtà Virtuale (VR), Proiezione Olografica, Tracciamento Oculare (Eye Tracking) | Ans: Realtà Virtuale (VR)
1999 [Tecnologia e Videogiochi]: In 'Animal Crossing: New Horizons', qual è il nome del Tanuki (o procione) che ti vende il pacchetto isola deserta? | K.K. Slider, Fuffi, Blatero, Tom Nook | Ans: Tom Nook
